reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS10135,MIDG2331_02066,,assimilatory sulfite reductase (NADPH) flavoprotein subunit,-,2131531,2133342
MIDG2331_RS10140,MIDG2331_02067,,sulfate adenylyltransferase subunit 1,-,2133643,2134935
MIDG2331_RS10145,MIDG2331_02068,cysD,sulfate adenylyltransferase subunit CysD,-,2135027,2135953
MIDG2331_RS10150,MIDG2331_02069,,phosphoadenylyl-sulfate reductase,-,2135968,2136702
MIDG2331_RS10155,MIDG2331_02070,cysG,siroheme synthase CysG,-,2136716,2138176
MIDG2331_RS10160,MIDG2331_02072,,sulfate ABC transporter substrate-binding protein,+,2138451,2139456
MIDG2331_RS10165,MIDG2331_02073,cysT,sulfate ABC transporter permease subunit CysT,+,2139475,2140287
MIDG2331_RS10170,MIDG2331_02074,cysW,sulfate ABC transporter permease subunit CysW,+,2140306,2141121
MIDG2331_RS10175,MIDG2331_02075,,sulfate/molybdate ABC transporter ATP-binding protein,+,2141131,2142201
MIDG2331_RS10180,MIDG2331_02076,lldD,FMN-dependent L-lactate dehydrogenase LldD,-,2142290,2143435
MIDG2331_RS10185,MIDG2331_02077,,biotin--[acetyl-CoA-carboxylase] ligase,-,2143619,2144383
MIDG2331_RS10190,MIDG2331_02078,murB,UDP-N-acetylmuramate dehydrogenase,-,2144392,2145426
MIDG2331_RS10195,MIDG2331_02079,ompA,porin OmpA,-,2145576,2146670
MIDG2331_RS10200,MIDG2331_02080,ilvC,ketol-acid reductoisomerase,-,2147059,2148540
MIDG2331_RS10205,MIDG2331_02081,,paraquat-inducible protein A,+,2148776,2150017
MIDG2331_RS10210,MIDG2331_02082,,transglutaminase-like domain-containing protein,+,2150194,2151294
MIDG2331_RS10215,MIDG2331_02083,,mercuric transporter MerT family protein,+,2151266,2151619
MIDG2331_RS10220,MIDG2331_02084,,heavy-metal-associated domain-containing protein,+,2151616,2151930
MIDG2331_RS10225,MIDG2331_02085,,iron-containing alcohol dehydrogenase,-,2152158,2153342
MIDG2331_RS10230,MIDG2331_02086,,LysR family transcriptional regulator,+,2153458,2154360
MIDG2331_RS10235,MIDG2331_02087,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",+,2154564,2155388
MIDG2331_RS10240,MIDG2331_02088,aroQ,type II 3-dehydroquinate dehydratase,+,2155453,2155917
MIDG2331_RS10245,MIDG2331_02089,,glycosyltransferase family 32 protein,+,2155910,2156698
MIDG2331_RS10250,MIDG2331_02090,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,+,2156869,2157330
MIDG2331_RS10255,MIDG2331_02091,accC,acetyl-CoA carboxylase biotin carboxylase subunit,+,2157486,2158829
MIDG2331_RS10260,MIDG2331_02092,mobA,molybdenum cofactor guanylyltransferase MobA,-,2158872,2159963
MIDG2331_RS10265,MIDG2331_02093,,YihD family protein,+,2160050,2160319
MIDG2331_RS10270,MIDG2331_02094,dsbA,thiol:disulfide interchange protein DsbA,+,2160363,2161001
MIDG2331_RS10280,MIDG2331_02096,ftsN,cell division protein FtsN,-,2161781,2162704
MIDG2331_RS10285,MIDG2331_02097,,class I SAM-dependent methyltransferase,-,2162816,2163571
MIDG2331_RS10290,MIDG2331_02098,,M15 family metallopeptidase,-,2163589,2164257
MIDG2331_RS10295,MIDG2331_02099,dapE,succinyl-diaminopimelate desuccinylase,-,2164276,2165409
MIDG2331_RS10300,MIDG2331_02100,,ArsC family reductase,-,2165432,2165782
MIDG2331_RS10305,MIDG2331_02101,,DUF5358 family protein,+,2165990,2166700
MIDG2331_RS10310,MIDG2331_02102,folP,dihydropteroate synthase,-,2166751,2167596
MIDG2331_RS10315,MIDG2331_02103,rluC,23S rRNA pseudouridine(955/2504/2580) synthase RluC,-,2167658,2168623
MIDG2331_RS10320,MIDG2331_02104,,TonB-dependent receptor plug domain-containing protein,+,2169016,2171334
MIDG2331_RS10325,MIDG2331_02105,,mechanosensitive ion channel family protein,+,2171490,2172401
MIDG2331_RS10330,MIDG2331_02106,,ATP-grasp domain-containing protein,+,2172597,2173775
MIDG2331_RS10335,MIDG2331_02107,,esterase family protein,+,2173787,2174539
MIDG2331_RS10340,MIDG2331_02108,ptrA,pitrilysin,-,2174607,2177555
MIDG2331_RS10345,MIDG2331_02109,recC,exodeoxyribonuclease V subunit gamma,-,2177564,2180908
MIDG2331_RS10350,MIDG2331_02110,,DUF5374 domain-containing protein,-,2181013,2181309
MIDG2331_RS10355,MIDG2331_02111,,DUF2572 family protein,-,2181299,2181955
MIDG2331_RS10360,MIDG2331_02112,,hypothetical protein,-,2181965,2182597
MIDG2331_RS10365,MIDG2331_02113,,pilus assembly FimT family protein,-,2182623,2183153
MIDG2331_RS10370,MIDG2331_02114,fabA,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase,-,2183241,2183771
MIDG2331_RS10375,MIDG2331_02115,,AAA family ATPase,-,2183882,2185519
MIDG2331_RS10380,MIDG2331_02116,matP,macrodomain Ter protein MatP,+,2185604,2186050
MIDG2331_RS10385,MIDG2331_02117,trpS,tryptophan--tRNA ligase,-,2186122,2187150
MIDG2331_RS10390,MIDG2331_02118,,phosphoglycolate phosphatase,-,2187290,2187955
MIDG2331_RS10400,MIDG2331_02120,lgt,prolipoprotein diacylglyceryl transferase,-,2188514,2189308
MIDG2331_RS10405,MIDG2331_02121,,sulfite exporter TauE/SafE family protein,-,2189361,2190152
MIDG2331_RS10410,MIDG2331_02122,rppH,RNA pyrophosphohydrolase,-,2190149,2190769
MIDG2331_RS10415,MIDG2331_02124,,M48 family metallopeptidase,-,2191315,2192082
MIDG2331_RS10420,MIDG2331_02125,ppa,inorganic diphosphatase,-,2192178,2192705
MIDG2331_RS10425,MIDG2331_02126,,tRNA1(Val) (adenine(37)-N6)-methyltransferase,+,2192779,2193489
MIDG2331_RS10430,MIDG2331_02127,rraA,ribonuclease E activity regulator RraA,-,2193536,2194033
MIDG2331_RS10435,MIDG2331_02128,,formate/nitrite transporter family protein,+,2194252,2195046
MIDG2331_RS10440,MIDG2331_02129,,alpha/beta hydrolase,+,2195217,2196041
MIDG2331_RS10455,MIDG2331_02132,,"IS256 family transposase, variant Zn-binding type",-,2197516,2198505
MIDG2331_RS10460,MIDG2331_02133,dnaJ,molecular chaperone DnaJ,-,2198629,2199771
MIDG2331_RS10465,MIDG2331_02134,dnaK,molecular chaperone DnaK,-,2200001,2201899
MIDG2331_RS10470,MIDG2331_02135,xylB,xylulokinase,-,2202174,2203619
MIDG2331_RS10475,MIDG2331_02136,xylA,xylose isomerase,-,2203817,2205136
MIDG2331_RS10480,MIDG2331_02137,xylF,D-xylose ABC transporter substrate-binding protein,+,2205390,2206388
MIDG2331_RS10485,MIDG2331_02138,xylG,D-xylose ABC transporter ATP-binding protein,+,2206452,2207966
MIDG2331_RS10490,MIDG2331_02139,,sugar ABC transporter permease,+,2207970,2209097
MIDG2331_RS10495,MIDG2331_02140,,XylR family transcriptional regulator,+,2209222,2210403
MIDG2331_RS10500,MIDG2331_02141,,M13 family metallopeptidase,+,2210408,2212435
MIDG2331_RS10505,MIDG2331_02142,,zinc ribbon domain-containing protein,+,2212510,2212737
MIDG2331_RS10510,MIDG2331_02143,panF,sodium/pantothenate symporter,-,2212806,2214230
MIDG2331_RS10515,MIDG2331_02144,,YhdT family protein,-,2214223,2214462
MIDG2331_RS10520,MIDG2331_02145,metJ,met regulon transcriptional regulator MetJ,-,2214516,2214833
MIDG2331_RS10525,MIDG2331_02146,,MlaA family lipoprotein,+,2215001,2215750
MIDG2331_RS10530,MIDG2331_02147,,D-hexose-6-phosphate mutarotase,+,2215825,2216634
MIDG2331_RS10535,MIDG2331_02148,,site-specific recombinase,+,2216745,2218712
MIDG2331_RS10540,MIDG2331_02149,pgaA,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA",+,2219484,2221958
MIDG2331_RS10545,MIDG2331_02150,pgaB,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB",+,2221973,2223745
MIDG2331_RS10550,MIDG2331_02151,pgaC,"poly-beta-1,6-N-acetyl-D-glucosamine synthase",+,2223754,2224989
MIDG2331_RS10555,MIDG2331_02152,,hypothetical protein,+,2224991,2225275
MIDG2331_RS10560,MIDG2331_02153,tpiA,triose-phosphate isomerase,-,2225379,2226149
MIDG2331_RS10565,MIDG2331_02154,truD,tRNA pseudouridine(13) synthase TruD,+,2226424,2227437
MIDG2331_RS10570,MIDG2331_02155,surE,5'/3'-nucleotidase SurE,+,2227437,2228201
MIDG2331_RS10575,MIDG2331_02156,,YqaA family protein,+,2228201,2228785
MIDG2331_RS10580,MIDG2331_02157,,LysM peptidoglycan-binding domain-containing protein,+,2228791,2229372
MIDG2331_RS10585,MIDG2331_02158,,hypothetical protein,+,2229458,2229655
MIDG2331_RS10590,MIDG2331_02159,,peptidoglycan DD-metalloendopeptidase family protein,+,2229689,2230927
MIDG2331_RS10595,MIDG2331_02160,,DNA-3-methyladenine glycosylase I,+,2231016,2231579
MIDG2331_RS10605,MIDG2331_02163,,YjiG family protein,-,2232773,2233237
MIDG2331_RS10610,MIDG2331_02164,,nucleoside recognition domain-containing protein,-,2233234,2233872
MIDG2331_RS10615,MIDG2331_02165,hemH,ferrochelatase,-,2234050,2235009
MIDG2331_RS10620,MIDG2331_02166,rpmH,50S ribosomal protein L34,+,2235285,2235419
MIDG2331_RS10625,MIDG2331_02167,rnpA,ribonuclease P protein component,+,2235452,2235817
MIDG2331_RS10630,MIDG2331_02168,yidD,membrane protein insertion efficiency factor YidD,+,2235775,2236080
MIDG2331_RS10635,MIDG2331_02169,glnA,type I glutamate--ammonia ligase,-,2236131,2237546
MIDG2331_RS10640,MIDG2331_02170,cpdA,"3',5'-cyclic-AMP phosphodiesterase",-,2237904,2238731
MIDG2331_RS10645,MIDG2331_02171,nudF,ADP-ribose diphosphatase,-,2238938,2239561
MIDG2331_RS10650,MIDG2331_02172,psiE,phosphate-starvation-inducible protein PsiE,-,2239571,2239990
MIDG2331_RS10655,MIDG2331_02173,,4'-phosphopantetheinyl transferase family protein,-,2239983,2240711
MIDG2331_RS10660,MIDG2331_02174,,EamA family transporter,-,2240771,2241199
MIDG2331_RS10665,MIDG2331_02175,nhaA,Na+/H+ antiporter NhaA,+,2241377,2242561
MIDG2331_RS10675,MIDG2331_02177,dtd,D-aminoacyl-tRNA deacylase,-,2243228,2243662
MIDG2331_RS10680,MIDG2331_02178,,virulence factor BrkB family protein,-,2243659,2244489
MIDG2331_RS10685,MIDG2331_02179,proA,glutamate-5-semialdehyde dehydrogenase,-,2244507,2245745
MIDG2331_RS10700,MIDG2331_02184,,transferrin-binding protein-like solute binding protein,-,2248496,2249350
MIDG2331_RS10705,MIDG2331_02185,,transferrin-binding protein-like solute binding protein,-,2249470,2250714
MIDG2331_RS10710,MIDG2331_02186,mutL,DNA mismatch repair endonuclease MutL,+,2251028,2252896
MIDG2331_RS10715,MIDG2331_02187,adhP,alcohol dehydrogenase AdhP,+,2253096,2254145
MIDG2331_RS10720,MIDG2331_02188,miaA,tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA,+,2254277,2255221
MIDG2331_RS10725,MIDG2331_02189,hfq,RNA chaperone Hfq,+,2255286,2255564
MIDG2331_RS10730,MIDG2331_02190,hflX,ribosome rescue GTPase HflX,+,2255602,2256969
MIDG2331_RS10735,MIDG2331_02191,,LOG family protein,-,2257005,2257565
MIDG2331_RS10740,MIDG2331_02192,,MazG nucleotide pyrophosphohydrolase domain-containing protein,+,2257628,2257951
MIDG2331_RS10745,MIDG2331_02193,crp,cAMP-activated global transcriptional regulator CRP,-,2258000,2258674
MIDG2331_RS10750,MIDG2331_02194,,YheU family protein,-,2258752,2258970
MIDG2331_RS10755,MIDG2331_02195,slmA,nucleoid occlusion factor SlmA,-,2258976,2259584
MIDG2331_RS10760,MIDG2331_02196,dut,dUTP diphosphatase,-,2259690,2260145
MIDG2331_RS10765,MIDG2331_02197,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,-,2260154,2261359
MIDG2331_RS10770,MIDG2331_02198,radC,RadC family protein,+,2261567,2262229
MIDG2331_RS10775,MIDG2331_02199,rpmB,50S ribosomal protein L28,+,2262398,2262634
MIDG2331_RS10780,MIDG2331_02200,rpmG,50S ribosomal protein L33,+,2262646,2262816
MIDG2331_RS10790,MIDG2331_02201,,hypothetical protein,+,2263181,2263741
MIDG2331_RS10795,MIDG2331_02202,,diaminobutyrate--2-oxoglutarate transaminase,+,2264022,2265386
MIDG2331_RS10800,MIDG2331_02203,ddc,"L-2,4-diaminobutyrate decarboxylase",+,2265515,2267050
MIDG2331_RS10805,MIDG2331_02204,yedF,sulfurtransferase-like selenium metabolism protein YedF,-,2267109,2267378
MIDG2331_RS10810,MIDG2331_02205,yedE,selenium metabolism membrane protein YedE/FdhT,-,2267396,2268616
MIDG2331_RS10815,MIDG2331_02206,,MaoP family protein,+,2268911,2269243
MIDG2331_RS10820,MIDG2331_02207,trmA,tRNA (uridine(54)-C5)-methyltransferase TrmA,+,2269394,2270500
MIDG2331_RS10835,MIDG2331_02210,corA,magnesium/cobalt transporter CorA,-,2271000,2271953
MIDG2331_RS10840,MIDG2331_02211,ubiE,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",+,2272254,2273030
MIDG2331_RS10845,MIDG2331_02212,,ubiquinone biosynthesis accessory factor UbiJ,+,2273056,2273688
MIDG2331_RS10850,MIDG2331_02213,ubiB,ubiquinone biosynthesis regulatory protein kinase UbiB,+,2273685,2275319
MIDG2331_RS10855,MIDG2331_02214,tatA,Sec-independent protein translocase subunit TatA,+,2275411,2275641
MIDG2331_RS10860,MIDG2331_02215,tatB,Sec-independent protein translocase protein TatB,+,2275645,2276232
MIDG2331_RS10865,MIDG2331_02216,tatC,twin-arginine translocase subunit TatC,+,2276222,2276968
MIDG2331_RS10870,MIDG2331_02217,hemB,porphobilinogen synthase,+,2277028,2278047
MIDG2331_RS10875,MIDG2331_02218,,DUF4870 family protein,+,2278134,2278496
MIDG2331_RS10880,MIDG2331_02219,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,-,2278547,2279368
MIDG2331_RS10885,MIDG2331_02220,brnQ,branched-chain amino acid transport system II carrier protein,-,2279431,2280717
MIDG2331_RS10890,MIDG2331_02221,fabG,3-oxoacyl-ACP reductase FabG,-,2280849,2281574
MIDG2331_RS10895,MIDG2331_02222,fabD,ACP S-malonyltransferase,-,2281692,2282627
MIDG2331_RS10900,MIDG2331_02223,,epoxyqueuosine reductase QueH,-,2282694,2283440
MIDG2331_RS10905,MIDG2331_02224,ispB,octaprenyl diphosphate synthase,-,2283477,2284472
MIDG2331_RS10910,MIDG2331_02225,,patatin-like phospholipase family protein,+,2284728,2285579
MIDG2331_RS10915,MIDG2331_02226,,NADPH-dependent FMN reductase,+,2285743,2286294
MIDG2331_RS10920,MIDG2331_02227,,DoxX family protein,+,2286495,2286908
MIDG2331_RS10925,MIDG2331_02228,rplU,50S ribosomal protein L21,+,2287261,2287572
MIDG2331_RS10930,MIDG2331_02229,rpmA,50S ribosomal protein L27,+,2287593,2287850
MIDG2331_RS10935,MIDG2331_02230,,DMT family transporter,+,2287885,2288874
MIDG2331_RS10940,MIDG2331_02231,,surface lipoprotein assembly modifier,-,2289103,2290572
MIDG2331_RS10945,MIDG2331_02232,,Cof-type HAD-IIB family hydrolase,-,2290688,2291497
MIDG2331_RS10950,MIDG2331_02233,,DNA utilization protein GntX,+,2291617,2292294
MIDG2331_RS10955,MIDG2331_02234,rsmC,16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC,-,2292729,2293718
MIDG2331_RS10960,MIDG2331_02235,,DNA polymerase III subunit psi,+,2293823,2294245
MIDG2331_RS10965,MIDG2331_02236,rimI,ribosomal protein S18-alanine N-acetyltransferase,+,2294238,2294675
MIDG2331_RS10970,MIDG2331_02237,srmB,ATP-dependent RNA helicase SrmB,+,2294698,2296035
MIDG2331_RS10975,MIDG2331_02238,pdxH,pyridoxamine 5'-phosphate oxidase,+,2296110,2296739
MIDG2331_RS10980,MIDG2331_02239,,ABC transporter substrate-binding protein,-,2296811,2298448
MIDG2331_RS10985,MIDG2331_02240,,aldehyde dehydrogenase family protein,-,2298639,2300120
MIDG2331_RS10990,MIDG2331_02241,,acetate uptake transporter,-,2300326,2300895
MIDG2331_RS10995,MIDG2331_02242,,ABC transporter ATP-binding protein,+,2301137,2301901
MIDG2331_RS11000,MIDG2331_02243,,iron-siderophore ABC transporter substrate-binding protein,+,2301901,2302857
MIDG2331_RS11005,MIDG2331_02244,fhuB,Fe(3+)-hydroxamate ABC transporter permease FhuB,+,2302851,2304803
MIDG2331_RS11010,MIDG2331_02245,,TonB-dependent siderophore receptor,+,2304850,2306937
MIDG2331_RS11015,MIDG2331_02246,,DUF2322 family protein,+,2307004,2307321
MIDG2331_RS11020,MIDG2331_02247,,phosphoribosylaminoimidazolesuccinocarboxamide synthase,-,2307411,2308268
MIDG2331_RS11025,MIDG2331_02249,hisG,ATP phosphoribosyltransferase,+,2308637,2309536
MIDG2331_RS11030,MIDG2331_02250,hisD,histidinol dehydrogenase,+,2309652,2310938
MIDG2331_RS11035,MIDG2331_02251,hisC,histidinol-phosphate transaminase,+,2311062,2312114
MIDG2331_RS11040,MIDG2331_02252,,IS200/IS605 family transposase,+,2312207,2312518
MIDG2331_RS11045,MIDG2331_02253,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,+,2312650,2313741
MIDG2331_RS11050,MIDG2331_02254,,phosphoglycerate mutase family protein,+,2313859,2314416
MIDG2331_RS11055,MIDG2331_02255,,PDDEXK nuclease domain-containing protein,+,2314501,2315505
MIDG2331_RS11060,MIDG2331_02256,hisH,imidazole glycerol phosphate synthase subunit HisH,+,2315631,2316221
MIDG2331_RS11065,MIDG2331_02257,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,+,2316342,2317094
MIDG2331_RS11070,MIDG2331_02258,hisF,imidazole glycerol phosphate synthase subunit HisF,+,2317076,2317849
MIDG2331_RS11075,MIDG2331_02259,,hypothetical protein,+,2317902,2318441
MIDG2331_RS11080,MIDG2331_02260,hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,+,2318585,2319226
MIDG2331_RS11085,MIDG2331_02261,,7-cyano-7-deazaguanine/7-aminomethyl-7- deazaguanine transporter,+,2319347,2320012
MIDG2331_RS11090,MIDG2331_02262,map,type I methionyl aminopeptidase,+,2320119,2320925
MIDG2331_RS11095,MIDG2331_02263,,thioredoxin family protein,-,2320994,2321488
MIDG2331_RS11100,MIDG2331_02264,,LacI family DNA-binding transcriptional regulator,-,2321521,2322540
MIDG2331_RS11105,MIDG2331_02265,,glycoside hydrolase family 32 protein,-,2322611,2324047
MIDG2331_RS11110,MIDG2331_02266,,aminoimidazole riboside kinase,-,2324101,2325024
MIDG2331_RS11115,MIDG2331_02267,nirK,copper-containing nitrite reductase,+,2325168,2326247
MIDG2331_RS11120,MIDG2331_02268,lolE,lipoprotein-releasing ABC transporter permease subunit LolE,-,2326316,2327566
MIDG2331_RS11125,MIDG2331_02269,lolD,lipoprotein-releasing ABC transporter ATP-binding protein LolD,-,2327566,2328246
MIDG2331_RS11130,MIDG2331_02270,,lipoprotein-releasing ABC transporter permease subunit,-,2328445,2329617
MIDG2331_RS11135,MIDG2331_02271,,2-hydroxyacid dehydrogenase,-,2329742,2330692
MIDG2331_RS11140,MIDG2331_02272,kdsA,3-deoxy-8-phosphooctulonate synthase,-,2330749,2331603
MIDG2331_RS11145,MIDG2331_02273,,SirB1 family protein,-,2331654,2332520
MIDG2331_RS11150,MIDG2331_02274,prmC,peptide chain release factor N(5)-glutamine methyltransferase,-,2332521,2333393
MIDG2331_RS11155,MIDG2331_02275,,hypothetical protein,-,2333395,2333922
MIDG2331_RS11160,MIDG2331_02276,prfA,peptide chain release factor 1,-,2333985,2335067
MIDG2331_RS11165,MIDG2331_02277,,rhodanese-like domain-containing protein,-,2335219,2336589
MIDG2331_RS11170,MIDG2331_02278,,YeeE/YedE family protein,-,2336598,2337590
MIDG2331_RS11185,,,IS3-like element ISApl3 family transposase,-,230549,231882
MIDG2331_RS11200,MIDG2331_00310,,CydX/CbdX family cytochrome bd oxidase small subunit,+,337111,337209
MIDG2331_RS11205,MIDG2331_00370,,DUF1232 domain-containing protein,-,401949,402110
MIDG2331_RS11235,,,IS3-like element ISApl3 family transposase,-,662648,663981
MIDG2331_RS11240,MIDG2331_00635,,nicotinate phosphoribosyltransferase,-,699696,700328
MIDG2331_RS11250,MIDG2331_00892,,YoaH family protein,+,972425,972589
MIDG2331_RS11260,,,IS3 family transposase,+,1026737,1028070
MIDG2331_RS11275,,,GNAT family N-acetyltransferase,-,1067055,1068941
MIDG2331_RS11295,,,IS3 family transposase,+,1204377,1205710
MIDG2331_RS11300,MIDG2331_01144,,cupin domain-containing protein,-,1255341,1255769
MIDG2331_RS11330,MIDG2331_01547,,methionine/alanine import family NSS transporter small subunit,+,1627630,1627722
MIDG2331_RS11335,,,IS3-like element ISApl3 family transposase,-,1693975,1695308
MIDG2331_RS11340,,,IS3 family transposase,+,1759226,1760625
MIDG2331_RS11345,MIDG2331_01697,lptM,LPS translocon maturation chaperone LptM,-,1784766,1784879
MIDG2331_RS11355,,,NAD(P)H-binding protein,-,1845905,1846177
MIDG2331_RS11360,MIDG2331_01761,lptM,LPS translocon maturation chaperone LptM,-,1846610,1846723
MIDG2331_RS11370,,,ParA family protein,+,2025334,2026169
MIDG2331_RS11400,,,IS3-like element ISApl3 family transposase,-,2196190,2197523
MIDG2331_RS11405,MIDG2331_02176,,ricin-type beta-trefoil lectin domain protein,+,2242704,2243192
MIDG2331_RS11495,,,hypothetical protein,-,73464,73613
MIDG2331_RS11505,MIDG2331_01422,,hypothetical protein,-,1523509,1523667
MIDG2331_RS11510,MIDG2331_01513,,hypothetical protein,-,1597783,1597920
MIDG2331_RS11515,MIDG2331_01641,,hypothetical protein,+,1734478,1734615
MIDG2331_RS11525,,,amino acid ABC transporter ATP-binding protein,+,1970142,1970870
MIDG2331_RS11530,,,cysteine ABC transporter substrate-binding protein,+,1970934,1971770
MIDG2331_RS11535,MIDG2331_01917,,hypothetical protein,+,2001558,2001731
MIDG2331_RS11540,,,helix-turn-helix domain-containing protein,-,2014205,2014345
MIDG2331_RS11545,MIDG2331_01928,,hypothetical protein,-,2017509,2017670
MIDG2331_RS11550,,,hypothetical protein,+,2028281,2028547
MIDG2331_RS11555,,,hypothetical protein,+,2034549,2034713
MIDG2331_RS11560,MIDG2331_02119,,hypothetical protein,-,2188125,2188298
MIDG2331_RS11570,MIDG2331_02181,,porin family protein,+,2246258,2246890
MIDG2331_RS11580,MIDG2331_02183,,TonB-dependent receptor domain-containing protein,+,2247346,2248242
MIDG2331_RS11595,MIDG2331_00252,,TonB-dependent receptor plug domain-containing protein,+,267800,268444
MIDG2331_RS11600,MIDG2331_00253,,hypothetical protein,+,268508,269365
